Feature1,Feature2,Correlation,AbsCorrelation,Range
Chi1n,NumValenceElectrons,0.9676801415023107,0.9676801415023107,0.9 - 1.0
Chi2n,Chi1n,0.9675623830992389,0.9675623830992389,0.9 - 1.0
Chi1n,Chi2n,0.9675623830992389,0.9675623830992389,0.9 - 1.0
Kappa1,HeavyAtomCount,0.9674531043495392,0.9674531043495392,0.9 - 1.0
HeavyAtomCount,Kappa1,0.9674531043495392,0.9674531043495392,0.9 - 1.0
Chi0v,HeavyAtomMolWt,0.9671975961010215,0.9671975961010215,0.9 - 1.0
HeavyAtomMolWt,Chi0v,0.9671975961010215,0.9671975961010215,0.9 - 1.0
Chi0,MolMR,0.966911898047082,0.966911898047082,0.9 - 1.0
MolMR,Chi0,0.966911898047082,0.966911898047082,0.9 - 1.0
Chi2v,Chi3v,0.9658278745339259,0.9658278745339259,0.9 - 1.0
Chi3v,Chi2v,0.9658278745339259,0.9658278745339259,0.9 - 1.0
NumValenceElectrons,MolMR,0.9653779457100486,0.9653779457100486,0.9 - 1.0
MolMR,NumValenceElectrons,0.9653779457100486,0.9653779457100486,0.9 - 1.0
Chi1v,LabuteASA,0.9640204909110571,0.9640204909110571,0.9 - 1.0
LabuteASA,Chi1v,0.9640204909110571,0.9640204909110571,0.9 - 1.0
Chi1v,Chi2v,0.9637685841921995,0.9637685841921995,0.9 - 1.0
Chi2v,Chi1v,0.9637685841921995,0.9637685841921995,0.9 - 1.0
LabuteASA,Chi1n,0.9636149042402223,0.9636149042402223,0.9 - 1.0
Chi1n,LabuteASA,0.9636149042402223,0.9636149042402223,0.9 - 1.0
FpDensityMorgan3,FpDensityMorgan2,0.962961310398494,0.962961310398494,0.9 - 1.0
FpDensityMorgan2,FpDensityMorgan3,0.962961310398494,0.962961310398494,0.9 - 1.0
MolMR,Chi1n,0.96207724036735,0.96207724036735,0.9 - 1.0
Chi1n,MolMR,0.96207724036735,0.96207724036735,0.9 - 1.0
MW,MolMR,0.9608697161626444,0.9608697161626444,0.9 - 1.0
MolMR,MW,0.9608697161626444,0.9608697161626444,0.9 - 1.0
Chi1v,Chi1n,0.9605650445627267,0.9605650445627267,0.9 - 1.0
Chi1n,Chi1v,0.9605650445627267,0.9605650445627267,0.9 - 1.0
Chi1,Chi1n,0.9602879800928121,0.9602879800928121,0.9 - 1.0
Chi1n,Chi1,0.9602879800928121,0.9602879800928121,0.9 - 1.0
MolMR,Chi1v,0.960203408093977,0.960203408093977,0.9 - 1.0
Chi1v,MolMR,0.960203408093977,0.960203408093977,0.9 - 1.0
Kappa1,HeavyAtomMolWt,0.9594574179942212,0.9594574179942212,0.9 - 1.0
HeavyAtomMolWt,Kappa1,0.9594574179942212,0.9594574179942212,0.9 - 1.0
Chi1v,Chi0n,0.9593815214499909,0.9593815214499909,0.9 - 1.0
Chi0n,Chi1v,0.9593815214499909,0.9593815214499909,0.9 - 1.0
Kappa1,Chi1,0.9586757641514714,0.9586757641514714,0.9 - 1.0
Chi1,Kappa1,0.9586757641514714,0.9586757641514714,0.9 - 1.0
NumValenceElectrons,Chi1v,0.9585951153994529,0.9585951153994529,0.9 - 1.0
Chi1v,NumValenceElectrons,0.9585951153994529,0.9585951153994529,0.9 - 1.0
Chi1n,HeavyAtomCount,0.9582696419558752,0.9582696419558752,0.9 - 1.0
HeavyAtomCount,Chi1n,0.9582696419558752,0.9582696419558752,0.9 - 1.0
Kappa3,Kappa2,0.9554502643402961,0.9554502643402961,0.9 - 1.0
Kappa2,Kappa3,0.9554502643402961,0.9554502643402961,0.9 - 1.0
logD,logP,0.9553841558721924,0.9553841558721924,0.9 - 1.0
logP,logD,0.9553841558721924,0.9553841558721924,0.9 - 1.0
MW,Chi0n,0.9549426513364937,0.9549426513364937,0.9 - 1.0
Chi0n,MW,0.9549426513364937,0.9549426513364937,0.9 - 1.0
Chi1v,MW,0.954917003448158,0.954917003448158,0.9 - 1.0
MW,Chi1v,0.954917003448158,0.954917003448158,0.9 - 1.0
HeavyAtomMolWt,MolMR,0.9507203999105057,0.9507203999105057,0.9 - 1.0
MolMR,HeavyAtomMolWt,0.9507203999105057,0.9507203999105057,0.9 - 1.0
FpDensityMorgan1,FpDensityMorgan2,0.949564320241949,0.949564320241949,0.9 - 1.0
FpDensityMorgan2,FpDensityMorgan1,0.949564320241949,0.949564320241949,0.9 - 1.0
Chi1n,Chi0,0.9476122219318202,0.9476122219318202,0.9 - 1.0
Chi0,Chi1n,0.9476122219318202,0.9476122219318202,0.9 - 1.0
Kappa1,MolMR,0.947374683351786,0.947374683351786,0.9 - 1.0
MolMR,Kappa1,0.947374683351786,0.947374683351786,0.9 - 1.0
LC50FM,IGC50,0.946612007923533,0.946612007923533,0.9 - 1.0
IGC50,LC50FM,0.946612007923533,0.946612007923533,0.9 - 1.0
HeavyAtomCount,Chi1v,0.9465734058993754,0.9465734058993754,0.9 - 1.0
Chi1v,HeavyAtomCount,0.9465734058993754,0.9465734058993754,0.9 - 1.0
Chi2n,Chi0n,0.9460041830035172,0.9460041830035172,0.9 - 1.0
Chi0n,Chi2n,0.9460041830035172,0.9460041830035172,0.9 - 1.0
Chi1v,Chi1,0.944526536228049,0.944526536228049,0.9 - 1.0
Chi1,Chi1v,0.944526536228049,0.944526536228049,0.9 - 1.0
Chi1v,Kappa1,0.9432810804442925,0.9432810804442925,0.9 - 1.0
Kappa1,Chi1v,0.9432810804442925,0.9432810804442925,0.9 - 1.0
Kappa1,Kappa2,0.9427641808092476,0.9427641808092476,0.9 - 1.0
Kappa2,Kappa1,0.9427641808092476,0.9427641808092476,0.9 - 1.0
Chi1v,Chi0,0.9413636815070805,0.9413636815070805,0.9 - 1.0
Chi0,Chi1v,0.9413636815070805,0.9413636815070805,0.9 - 1.0
HeavyAtomMolWt,Chi1v,0.9404087099125323,0.9404087099125323,0.9 - 1.0
Chi1v,HeavyAtomMolWt,0.9404087099125323,0.9404087099125323,0.9 - 1.0
HeavyAtomMolWt,Chi0n,0.9378876104179791,0.9378876104179791,0.9 - 1.0
Chi0n,HeavyAtomMolWt,0.9378876104179791,0.9378876104179791,0.9 - 1.0
Chi1n,Kappa1,0.937395856162951,0.937395856162951,0.9 - 1.0
Kappa1,Chi1n,0.937395856162951,0.937395856162951,0.9 - 1.0
nHA,TPSA,0.9294530462125323,0.9294530462125323,0.9 - 1.0
TPSA,nHA,0.9294530462125323,0.9294530462125323,0.9 - 1.0
LC50DM,LC50FM,0.9278174250186324,0.9278174250186324,0.9 - 1.0
LC50FM,LC50DM,0.9278174250186324,0.9278174250186324,0.9 - 1.0
Chi2v,Chi0v,0.9265437658767336,0.9265437658767336,0.9 - 1.0
Chi0v,Chi2v,0.9265437658767336,0.9265437658767336,0.9 - 1.0
